            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2462240.210416667, A.D. 2029-Apr-13 17:03:00.0000, -1.076803261238933E+05, -3.588404274336626E+04, -2.536726050347106E+04,  4.631808462082276E+00,  4.047342998150015E+00,  1.773100154469098E+00,
2462240.211111111, A.D. 2029-Apr-13 17:04:00.0000, -1.074023684302866E+05, -3.564118579923458E+04, -2.526086290418454E+04,  4.633449797348693E+00,  4.047888689845667E+00,  1.773486808859437E+00,
2462240.211805556, A.D. 2029-Apr-13 17:05:00.0000, -1.071243119304180E+05, -3.539829607448920E+04, -2.515444204778579E+04,  4.635102022006558E+00,  4.048435683701499E+00,  1.773875394084315E+00,
2462240.212500000, A.D. 2029-Apr-13 17:06:00.0000, -1.068461559678316E+05, -3.515537349127642E+04, -2.504799781803138E+04,  4.636765239176940E+00,  4.048983971054758E+00,  1.774265922717088E+00,
2462240.213194444, A.D. 2029-Apr-13 17:07:00.0000, -1.065678998798132E+05, -3.491241797224476E+04, -2.494153009794450E+04,  4.638439553208567E+00,  4.049533542869971E+00,  1.774658407407344E+00,
2462240.213888889, A.D. 2029-Apr-13 17:08:00.0000, -1.062895429967642E+05, -3.466942944151736E+04, -2.483503876969785E+04,  4.640125069697920E+00,  4.050084389729703E+00,  1.775052860881267E+00,
2462240.214583333, A.D. 2029-Apr-13 17:09:00.0000, -1.060110846446455E+05, -3.442640782104337E+04, -2.472852371494499E+04,  4.641821895501234E+00,  4.050636501822773E+00,  1.775449295940364E+00,
2462240.215277778, A.D. 2029-Apr-13 17:10:00.0000, -1.057325241409838E+05, -3.418335303615010E+04, -2.462198481430927E+04,  4.643530138759946E+00,  4.051189868936648E+00,  1.775847725462801E+00,
2462240.215972222, A.D. 2029-Apr-13 17:11:00.0000, -1.054538607974946E+05, -3.394026501184655E+04, -2.451542194773597E+04,  4.645249908913216E+00,  4.051744480445129E+00,  1.776248162402068E+00,
2462240.216666667, A.D. 2029-Apr-13 17:12:00.0000, -1.051750939191878E+05, -3.369714367378860E+04, -2.440883499441481E+04,  4.646981316717302E+00,  4.052300325298074E+00,  1.776650619786886E+00,
2462240.217361111, A.D. 2029-Apr-13 17:13:00.0000, -1.048962228045166E+05, -3.345398894833201E+04, -2.430222383269613E+04,  4.648724474263890E+00,  4.052857392010248E+00,  1.777055110720880E+00,
2462240.218055556, A.D. 2029-Apr-13 17:14:00.0000, -1.046172467450500E+05, -3.321080076251037E+04, -2.419558834018974E+04,  4.650479494998693E+00,  4.053415668650047E+00,  1.777461648382162E+00,
2462240.218750000, A.D. 2029-Apr-13 17:15:00.0000, -1.043381650256217E+05, -3.296757904410078E+04, -2.408892839369184E+04,  4.652246493740337E+00,  4.053975142827819E+00,  1.777870246022922E+00,
2462240.219444444, A.D. 2029-Apr-13 17:16:00.0000, -1.040589769239426E+05, -3.272432372164108E+04, -2.398224386920589E+04,  4.654025586699509E+00,  4.054535801683956E+00,  1.778280916968910E+00,
2462240.220138889, A.D. 2029-Apr-13 17:17:00.0000, -1.037796817109585E+05, -3.248103472443075E+04, -2.387553464192602E+04,  4.655816891498395E+00,  4.055097631876652E+00,  1.778693674618964E+00,
2462240.220833333, A.D. 2029-Apr-13 17:18:00.0000, -1.035002786503732E+05, -3.223771198262537E+04, -2.376880058624887E+04,  4.657620527190430E+00,  4.055660619569338E+00,  1.779108532444429E+00,
2462240.221527778, A.D. 2029-Apr-13 17:19:00.0000, -1.032207669987381E+05, -3.199435542717692E+04, -2.366204157576699E+04,  4.659436614280285E+00,  4.056224750417861E+00,  1.779525503988544E+00,
